Overall Qual,Year Built,Total Bsmt SF,Gr Liv Area,Garage Area
7.0,1976.0,1090.0,1370.0,479.0
5.0,1967.0,1013.0,2126.0,538.0
4.0,1962.0,1057.902708481825,1224.0,462.0
4.0,1949.0,1057.902708481825,1040.0,420.0
4.0,1920.0,600.0,1701.0,0.0
6.0,1988.0,1151.0,2060.0,521.0
8.0,1998.0,1044.0,1976.0,885.0
6.0,1954.0,1367.0,1375.0,451.0
6.0,1965.0,1021.0,2380.0,596.0
8.0,2007.0,1578.0,1602.0,810.0
5.0,1991.0,974.0,974.0,0.0
8.0,1986.0,279.0,1458.492119089317,691.0
7.0,2004.0,384.0,1374.0,400.0
7.0,2008.0,1450.0,1450.0,788.0
5.0,1935.0,1057.902708481825,1032.0,260.0
7.0,2003.0,530.0,1080.0,496.0
6.0,1954.0,1062.0,1062.0,297.0
8.0,2005.0,1573.0,1778.0,495.0
5.0,1925.0,960.0,995.0,264.0
6.0,1960.0,1253.0,1253.0,352.0
5.0,1956.0,1150.0,1560.0,313.0
6.0,2005.0,547.0,1072.0,525.0
5.0,1949.0,1067.0,1523.0,295.0
7.0,2002.0,840.0,1725.0,550.0
5.0,1921.0,616.0,616.0,205.0
6.0,2004.0,848.0,848.0,420.0
8.0,2004.0,1782.0,1782.0,932.0
6.0,2005.0,1316.0,1316.0,397.0
5.0,1956.0,1144.0,1144.0,596.0
8.0,1999.0,1462.0,1513.0,521.0
7.0,2002.0,1492.0,1492.0,596.0
4.0,1925.0,1151.0,1281.0,580.0
5.0,1952.0,910.0,1385.0,720.0
4.0,1885.0,641.0,1047.0,273.0
7.0,2010.0,1222.0,1222.0,615.0
7.0,2001.0,1057.0,1929.0,650.0
6.0,1934.0,715.0,1660.0,240.0
7.0,2004.0,1143.0,1143.0,588.0
5.0,1956.0,1073.0,1073.0,340.0
8.0,1996.0,1260.0,1288.0,500.0
6.0,1966.0,1182.0,1643.0,438.0
8.0,2005.0,1094.0,2482.0,642.0
5.0,1983.0,864.0,902.0,484.0
7.0,2007.0,1340.0,1340.0,396.0
7.0,2003.0,764.0,1626.0,474.0
